aX,aY,aZ,gX,gY,gZ
-0.120,0.967,-0.821,8.789,60.242,-18.494
-0.107,0.954,-0.797,11.841,58.655,-20.081
-0.102,0.939,-0.776,15.320,56.396,-21.545
-0.116,0.930,-0.741,18.494,52.490,-22.095
-0.137,0.918,-0.708,21.729,48.828,-22.705
-0.152,0.898,-0.708,25.574,46.814,-23.926
-0.168,0.881,-0.708,26.978,45.532,-25.452
-0.177,0.873,-0.723,28.198,43.945,-25.146
-0.180,0.877,-0.741,28.259,42.542,-24.109
-0.181,0.886,-0.760,27.405,41.199,-22.522
-0.186,0.897,-0.769,26.611,39.612,-21.057
-0.188,0.910,-0.770,26.062,38.025,-20.447
-0.196,0.923,-0.765,27.405,36.011,-20.447
-0.205,0.936,-0.763,31.067,33.936,-20.447
-0.199,0.930,-0.769,35.950,32.288,-21.667
-0.188,0.919,-0.755,39.307,30.579,-22.400
-0.183,0.905,-0.730,41.321,28.503,-22.339
-0.186,0.886,-0.714,43.030,26.978,-21.973
-0.189,0.866,-0.699,42.908,25.940,-21.362
-0.181,0.850,-0.677,42.297,25.146,-20.264
-0.172,0.834,-0.672,41.992,24.841,-18.982
-0.169,0.820,-0.660,40.771,24.597,-16.846
-0.161,0.830,-0.633,38.452,23.254,-14.648
-0.156,0.849,-0.620,38.574,22.705,-12.207
-0.148,0.876,-0.624,41.260,22.217,-11.292
-0.151,0.884,-0.629,46.204,21.606,-12.756
-0.143,0.868,-0.622,50.659,20.142,-16.174
-0.132,0.842,-0.614,53.772,18.860,-18.677
-0.120,0.804,-0.609,54.077,17.944,-19.653
-0.122,0.770,-0.579,51.392,16.357,-18.738
-0.109,0.744,-0.532,47.607,13.550,-16.296
-0.107,0.720,-0.498,46.570,11.292,-12.329
-0.094,0.706,-0.473,46.997,8.972,-8.179
-0.105,0.699,-0.484,48.523,7.263,-5.554
-0.113,0.687,-0.493,48.767,5.310,-4.456
-0.113,0.659,-0.480,46.814,2.930,-6.165
-0.111,0.609,-0.465,45.105,-0.244,-10.864
-0.117,0.556,-0.438,42.542,-3.845,-14.954
-0.131,0.504,-0.392,37.781,-7.385,-17.883
-0.157,0.456,-0.341,32.776,-10.193,-20.447
-0.179,0.400,-0.302,28.748,-11.169,-21.484
-0.193,0.344,-0.268,23.437,-10.315,-20.874
-0.201,0.300,-0.240,17.151,-8.911,-18.555
-0.205,0.283,-0.219,11.414,-7.202,-14.893
-0.205,0.301,-0.221,6.042,-5.920,-12.451
-0.210,0.334,-0.235,1.892,-5.615,-13.672
-0.208,0.373,-0.242,0.000,-8.118,-19.043
-0.225,0.410,-0.248,1.343,-12.024,-26.367
-0.255,0.444,-0.248,4.761,-16.541,-33.203
-0.267,0.477,-0.249,9.094,-19.897,-38.574
-0.273,0.500,-0.272,10.376,-20.813,-40.955

-0.724,1.508,-0.527,1.404,19.470,-44.556
-0.729,1.669,-0.563,8.179,21.606,-54.626
-0.712,1.835,-0.625,16.663,26.184,-64.087
-0.682,1.997,-0.717,27.832,32.166,-71.045
-0.592,2.156,-0.831,41.138,38.696,-71.045
-0.503,2.310,-0.945,56.213,43.579,-66.833
-0.470,2.386,-1.026,69.763,44.617,-64.209
-0.436,2.403,-1.073,83.252,45.654,-62.622
-0.376,2.366,-1.111,98.816,49.927,-58.472
-0.299,2.266,-1.153,114.319,56.885,-51.819
-0.194,2.125,-1.171,127.563,63.232,-44.006
-0.078,1.963,-1.163,138.672,68.726,-37.048
0.061,1.781,-1.126,148.132,74.341,-30.945
0.230,1.603,-1.080,155.884,80.750,-25.757
0.422,1.418,-1.049,159.546,86.426,-21.484
0.600,1.231,-1.010,158.875,88.318,-15.869
0.726,1.045,-0.909,152.283,84.351,-7.874
0.845,0.872,-0.825,146.851,76.233,1.282
0.951,0.663,-0.796,145.508,66.711,8.118
1.031,0.465,-0.701,138.855,50.720,9.155
1.110,0.265,-0.577,129.211,28.809,2.930
1.172,0.065,-0.444,120.605,6.958,-6.348
1.236,-0.121,-0.291,110.779,-13.489,-16.785
1.317,-0.320,-0.142,100.952,-31.372,-25.391
1.362,-0.514,-0.020,91.980,-47.424,-28.625
1.389,-0.706,0.089,83.130,-64.148,-26.001
